                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r25.12.1"                               "gfortran"                                 "15.2.0"                   "aarch64-macos-26.3.2"                                 "CRMATH"                               "20260503"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      701                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.3057386742222446E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.3057386742222446E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256836595520417E+000                  1.1866327777133821E-005                 -4.9256836595520417E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256836595520417E+000                  1.1866327777133821E-005                 -4.9256836596620639E+000                 -1.4521986206284309E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416908984571537E+000                  5.3986996612721667E-002                  2.6626486225655033E-001                  3.9055379027900323E+000                  0.0000000000000000E+000                  1.4891917206430559E+001                  1.4483780979181135E-001                  6.6225825287645010E+000                  6.2123283091485071E-001                  8.5000496627254207E-001                  1.2966429887659310E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607860798E-003                  9.3805276451495428E-003                  3.4468833607860798E-003                  9.3805276451495393E-003                  7.0000000000000062E-001                  2.7997020236474868E-001                                        0                                        4 
                                       5                                      700                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388968444229635E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388968444229635E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256836636452697E+000                  1.1866327665293608E-005                 -4.9256836636452697E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256836636452697E+000                  1.1866327665293608E-005                 -4.9256836637552919E+000                 -1.4521986302330072E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882562276247E+000                  5.3976420913781131E-002                  2.6626485886613843E-001                  3.9055379095708562E+000                  0.0000000000000000E+000                  1.4891917208235848E+001                  1.4483781087918710E-001                  6.6225825294773530E+000                  6.2123283091441517E-001                  8.5000496627254207E-001                  1.2966429887659310E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607860798E-003                  9.3805276451495428E-003                  3.4468833607860794E-003                  9.3805276451495393E-003                  7.0000000000000062E-001                  2.7997020236474868E-001                                        0                                        2 
                                      10                                      700                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388971087908355E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388971087908355E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256836752299815E+000                  1.1866327348761883E-005                 -4.9256836752299815E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256836752299815E+000                  1.1866327348761883E-005                 -4.9256836753400037E+000                 -1.4521986558740082E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882573754812E+000                  5.3976425511360636E-002                  2.6626485886921503E-001                  3.9055379095647029E+000                  0.0000000000000000E+000                  1.4891917213247767E+001                  1.4483781389830636E-001                  6.6225825314561204E+000                  6.2123283091320569E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860789E-003                  9.3805276451495410E-003                  3.4468833607860794E-003                  9.3805276451495376E-003                  7.0000000000000007E-001                  2.7997020236474857E-001                                        0                                        2 
                                      15                                      700                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388989963721795E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388989963721795E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256836928170706E+000                  1.1866326868225826E-005                 -4.9256836928170706E+000                 -9.8999999999999986E+001                 -2.0470039705150718E+001                 -4.9256836928170706E+000                  1.1866326868225826E-005                 -4.9256836929270937E+000                 -1.4521986892216132E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882397776931E+000                  5.3976355179420656E-002                  2.6626485889882062E-001                  3.9055379095054916E+000                  0.0000000000000000E+000                  1.4891917220571290E+001                  1.4483781831888440E-001                  6.6225825343386990E+000                  6.2123283091144454E-001                  8.5000496627254207E-001                  1.2966429887659310E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607860798E-003                  9.3805276451495428E-003                  3.4468833607860794E-003                  9.3805276451495393E-003                  7.0000000000000062E-001                  2.7997020236474868E-001                                        0                                        2 
                                      20                                      700                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8389068305592869E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8389068305592869E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256837190974396E+000                  1.1866326150161360E-005                 -4.9256837190974396E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256837190974396E+000                  1.1866326150161360E-005                 -4.9256837192074618E+000                 -1.4521987281843172E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882418966532E+000                  5.3976364065754179E-002                  2.6626485910406816E-001                  3.9055379090949969E+000                  0.0000000000000000E+000                  1.4891917231063813E+001                  1.4483782467531639E-001                  6.6225825384459505E+000                  6.2123283090893699E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860789E-003                  9.3805276451495410E-003                  3.4468833607860794E-003                  9.3805276451495376E-003                  7.0000000000000007E-001                  2.7997020236474857E-001                                        0                                        2 
                                      25                                      700                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8389389534195753E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8389389534195753E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256837567180778E+000                  1.1866325122244226E-005                 -4.9256837567180778E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256837567180778E+000                  1.1866325122244226E-005                 -4.9256837568281000E+000                 -1.4521987663005246E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882458185360E+000                  5.3976380236593992E-002                  2.6626485934572236E-001                  3.9055379086116884E+000                  0.0000000000000000E+000                  1.4891917245725915E+001                  1.4483783361688624E-001                  6.6225825441270905E+000                  6.2123283090547365E-001                  8.5000496627254207E-001                  1.2966429887659310E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607860798E-003                  9.3805276451495428E-003                  3.4468833607860794E-003                  9.3805276451495393E-003                  7.0000000000000062E-001                  2.7997020236474868E-001                                        0                                        2 
                                      30                                      700                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8390729479370417E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8390729479370417E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256838046038123E+000                  1.1866323813851670E-005                 -4.9256838046038123E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256838046038123E+000                  1.1866323813851670E-005                 -4.9256838047138345E+000                 -1.4521987932964375E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882468888065E+000                  5.3976384897377834E-002                  2.6626485953557305E-001                  3.9055379082319868E+000                  0.0000000000000000E+000                  1.4891917265428036E+001                  1.4483784578653289E-001                  6.6225825516089580E+000                  6.2123283090092563E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860789E-003                  9.3805276451495410E-003                  3.4468833607860794E-003                  9.3805276451495376E-003                  7.0000000000000007E-001                  2.7997020236474857E-001                                        0                                        2 
                                      35                                      700                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8396513390870073E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8396513390870073E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256838508664949E+000                  1.1866322549806274E-005                 -4.9256838508664949E+000                 -9.8999999999999986E+001                 -2.0169009709486737E+001                 -4.9256838508664949E+000                  1.1866322549806274E-005                 -4.9256838509765171E+000                 -1.4521988014927965E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882467517087E+000                  5.3976384388226710E-002                  2.6626485955519286E-001                  3.9055379081927475E+000                  0.0000000000000000E+000                  1.4891917290989463E+001                  1.4483786197534748E-001                  6.6225825609219733E+000                  6.2123283089529802E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607860789E-003                  9.3805276451495428E-003                  3.4468833607860794E-003                  9.3805276451495393E-003                  7.0000000000000062E-001                  2.7997020236474868E-001                                        0                                        2 
                                      40                                      700                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8422651535739344E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8422651535739344E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256838677841239E+000                  1.1866322087562223E-005                 -4.9256838677841239E+000                 -9.8999999999999986E+001                 -2.0470039705150718E+001                 -4.9256838677841239E+000                  1.1866322087562223E-005                 -4.9256838678941461E+000                 -1.4521987897158073E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882459926834E+000                  5.3976380276027441E-002                  2.6626485901714442E-001                  3.9055379092688440E+000                  0.0000000000000000E+000                  1.4891917324372882E+001                  1.4483788410612322E-001                  6.6225825721117477E+000                  6.2123283088862424E-001                  8.5000496627254207E-001                  1.2966429887659310E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860776E-003                  9.3805276451495410E-003                  3.4468833607860794E-003                  9.3805276451495376E-003                  7.0000000000000007E-001                  2.7997020236474857E-001                                        0                                        2 
