# M = 1.200e+00 M_sun, X = 7.20e-01, Y = 2.70e-01, Z = 1.00e-02
# Output model: R = 1.27843277e+00 R_sun, L = 2.4097e+00 L_sun, Teff = 6.3580e+03 K, Pc = 2.1041e+17 dyn cm^-2, Tc = 1.6361e+07 K
m r rho T P l eps kappa nabla_ad nabla_rad nabla_dlnT_dlnP shell_type
2.3868e+23 8.4482e+06 9.4500e+01 1.6361e+07 2.1041e+17 1.0159e+25 4.2562e+01 9.1072e-01 3.9898e-01 4.4896e-01 3.9898e-01 convective
3.8342e+30 2.1386e+09 9.2972e+01 1.6185e+07 2.0478e+17 1.5509e+32 3.9098e+01 9.2130e-01 3.9899e-01 4.3867e-01 3.9899e-01 convective
7.6684e+30 2.6997e+09 9.2077e+01 1.6081e+07 2.0150e+17 3.0126e+32 3.7235e+01 9.2767e-01 3.9900e-01 4.3313e-01 3.9900e-01 convective
1.1503e+31 3.0954e+09 9.1326e+01 1.5994e+07 1.9877e+17 4.4111e+32 3.5761e+01 9.3311e-01 3.9901e-01 4.2875e-01 3.9901e-01 convective
1.5337e+31 3.4119e+09 9.0657e+01 1.5916e+07 1.9636e+17 5.7577e+32 3.4508e+01 9.3803e-01 3.9902e-01 4.2503e-01 3.9902e-01 convective
1.9171e+31 3.6804e+09 9.0042e+01 1.5844e+07 1.9414e+17 7.0592e+32 3.3406e+01 9.4262e-01 3.9902e-01 4.2177e-01 3.9902e-01 convective
2.3005e+31 3.9160e+09 8.9468e+01 1.5777e+07 1.9209e+17 8.3208e+32 3.2415e+01 9.4686e-01 3.9903e-01 4.1880e-01 3.9903e-01 convective
2.6840e+31 4.1274e+09 8.8926e+01 1.5713e+07 1.9015e+17 9.5461e+32 3.1511e+01 9.5093e-01 3.9903e-01 4.1610e-01 3.9903e-01 convective
3.0674e+31 4.3203e+09 8.8409e+01 1.5652e+07 1.8831e+17 1.0738e+33 3.0678e+01 9.5485e-01 3.9904e-01 4.1363e-01 3.9904e-01 convective
3.4508e+31 4.4983e+09 8.7914e+01 1.5594e+07 1.8656e+17 1.1899e+33 2.9905e+01 9.5865e-01 3.9905e-01 4.1134e-01 3.9905e-01 convective
3.8342e+31 4.6641e+09 8.7437e+01 1.5538e+07 1.8488e+17 1.3032e+33 2.9182e+01 9.6235e-01 3.9905e-01 4.0922e-01 3.9905e-01 convective
4.2176e+31 4.8197e+09 8.6976e+01 1.5483e+07 1.8326e+17 1.4138e+33 2.8502e+01 9.6597e-01 3.9906e-01 4.0723e-01 3.9906e-01 convective
